Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,157895,7349,0,150546,8,4.65,0.0,0.0,38928341,4056.0,157745,150,0.1
Albania,207542,3189,0,204353,321,1.54,0.0,0.0,2877800,72118.0,205549,1993,0.97
Algeria,216376,6229,0,210147,278,2.88,0.0,0.0,43851043,4934.0,214330,2046,0.95
Andorra,21730,139,0,21591,0,0.64,0.0,0.0,77265,281240.0,20549,1181,5.75
Angola,71142,1746,0,69396,921,2.45,0.0,0.0,32866268,2165.0,65868,5274,8.01
Antigua and Barbuda,4236,118,0,4118,20,2.79,0.0,0.0,97928,43256.0,4198,38,0.91
Argentina,5452419,117020,0,5335399,7183,2.15,0.0,0.0,45195777,120640.0,5386453,65966,1.22
Armenia,344379,7942,0,336437,118,2.31,0.0,0.0,2963234,116217.0,343506,873,0.25
Australia,300594,2190,0,298404,9459,0.73,0.0,0.0,50919400,5903.0,250651,49943,19.93
Austria,1262836,13626,0,1249210,2085,1.08,0.0,0.0,9006400,140215.0,1247399,15437,1.24
Azerbaijan,614119,8284,0,605835,501,1.35,0.0,0.0,10139175,60569.0,609397,4722,0.77
Bahamas,23539,713,0,22826,0,3.03,0.0,0.0,393248,59858.0,22995,544,2.37
Bahrain,279518,1394,0,278124,241,0.5,0.0,0.0,1701583,164269.0,278410,1108,0.4
Bangladesh,1582985,28056,0,1554929,275,1.77,0.0,0.0,164689383,9612.0,1580872,2113,0.13
Barbados,27629,260,0,27369,143,0.94,0.0,0.0,287371,96144.0,27169,460,1.69
Belarus,692601,5484,0,687117,1529,0.79,0.0,0.0,9449321,73296.0,683172,9429,1.38
Belgium,2038111,28149,0,2009962,0,1.38,0.0,0.0,22985282,88670.0,1999764,38347,1.92
Belize,31503,592,0,30911,0,1.88,0.0,0.0,397621,79229.0,31246,257,0.82
Benin,24935,161,0,24774,0,0.65,0.0,0.0,12123198,2057.0,24907,28,0.11
Bhutan,2659,3,0,2656,0,0.11,0.0,0.0,771612,3446.0,2656,3,0.11
Bolivia,575247,19530,0,555717,0,3.4,0.0,0.0,11673029,49280.0,563858,11389,2.02
Bosnia and Herzegovina,287276,13269,0,274007,0,4.62,0.0,0.0,3280815,87562.0,284272,3004,1.06
Botswana,208994,2427,0,206567,0,1.16,0.0,0.0,2351625,88872.0,199864,9130,4.57
Brazil,22238297,618686,0,21619611,3674,2.78,0.0,0.0,422706534,52609.0,22216112,22185,0.1
Brunei,15429,98,0,15331,0,0.64,0.0,0.0,437483,35268.0,15386,43,0.28
Bulgaria,733882,30528,0,703354,743,4.16,0.0,0.0,6948445,105618.0,724337,9545,1.32
Burkina Faso,17040,317,0,16723,0,1.86,0.0,0.0,20903278,815.0,16672,368,2.21
Burma,529503,19251,0,510252,176,3.64,0.0,0.0,54409800,9732.0,528101,1402,0.27
Burundi,23657,38,0,23619,0,0.16,0.0,0.0,11890781,1990.0,21422,2235,10.43
Cabo Verde,39013,352,0,38661,148,0.9,0.0,0.0,555988,70169.0,38573,440,1.14
Cambodia,120445,3008,0,117437,5,2.5,0.0,0.0,16718971,7204.0,120410,35,0.03
Cameroon,108451,1851,0,106600,0,1.71,0.0,0.0,26545864,4085.0,107662,789,0.73
Canada,1987909,30203,0,1957706,9319,1.52,0.0,0.0,76492216,25988.0,1882455,105454,5.6
Central African Republic,11961,101,0,11860,0,0.84,0.0,0.0,4829764,2477.0,11961,0,0.0
Chad,5703,181,0,5522,0,3.17,0.0,0.0,16425859,347.0,5703,0,0.0
Chile,1799125,39013,0,1760112,1494,2.17,0.0,0.0,36692988,49032.0,1790524,8601,0.48
China,113574,4849,0,108725,71,4.27,0.0,0.0,2829703778,40.0,112879,695,0.62
Colombia,5121668,129729,0,4991939,3414,2.53,0.0,0.0,99141018,51660.0,5105285,16383,0.32
Comoros,5479,153,0,5326,143,2.79,0.0,0.0,869595,6301.0,4649,830,17.85
Congo (Brazzaville),19490,367,0,19123,0,1.88,0.0,0.0,89561403,218.0,19179,311,1.62
Congo (Kinshasa),70059,1126,0,68933,0,1.61,0.0,0.0,5518087,12696.0,64448,5611,8.71
Costa Rica,568860,7343,0,561517,0,1.29,0.0,0.0,5094114,111670.0,568538,322,0.06
Cote d'Ivoire,63847,707,0,63140,455,1.11,0.0,0.0,26378274,2420.0,62077,1770,2.85
Croatia,693102,12279,0,680823,3271,1.77,0.0,0.0,4105268,168832.0,673427,19675,2.92
Cuba,964607,8320,0,956287,125,0.86,0.0,0.0,11326616,85163.0,964035,572,0.06
Cyprus,149848,628,0,149220,268,0.42,0.0,0.0,1207361,124112.0,144713,5135,3.55
Czechia,2444648,35692,0,2408956,37659,1.46,0.0,0.0,10708981,228280.0,2397246,47402,1.98
Denmark,647807,3114,0,644693,30,0.48,0.0,0.0,5942850,109006.0,615670,32137,5.22
Diamond Princess,712,13,0,699,0,1.83,0.0,0.0,0,56795.58031088083,712,0,0.0
Djibouti,13568,189,0,13379,13,1.39,0.0,0.0,988002,13733.0,13528,40,0.3
Dominica,6520,44,0,6476,0,0.67,0.0,0.0,71991,90567.0,6286,234,3.72
Dominican Republic,413887,4237,0,409650,696,1.02,0.0,0.0,10847904,38154.0,411449,2438,0.59
Ecuador,540122,33641,0,506481,0,6.23,0.0,0.0,17643060,30614.0,536129,3993,0.74
Egypt,380520,21571,0,358949,866,5.67,0.0,0.0,102334403,3718.0,374411,6109,1.63
El Salvador,121741,3818,0,117923,0,3.14,0.0,0.0,6486201,18769.0,121484,257,0.21
Equatorial Guinea,13630,175,0,13455,7,1.28,0.0,0.0,1402985,9715.0,13618,12,0.09
Eritrea,7873,72,0,7801,20,0.91,0.0,0.0,3546427,2220.0,7753,120,1.55
